iter	RMSE
0	0.7756148794
1	0.7505480034
2	0.7265229272
3	0.7044009133
4	0.6838750998
5	0.6662317526
6	0.6488932207
7	0.6341087159
8	0.6202966829
9	0.6071717066
10	0.5949988318
11	0.5839890698
12	0.5735573867
13	0.5645669264
14	0.5565831573
15	0.5489855364
16	0.5420907066
17	0.5361833053
18	0.5305654442
19	0.5249180186
20	0.5191680877
21	0.5149338337
22	0.5112440989
23	0.5074326672
24	0.5041724751
25	0.5007721873
26	0.4975154226
27	0.4946259349
28	0.4914027257
29	0.4888653932
30	0.4861177565
31	0.4837940747
32	0.4815558622
33	0.4798545969
34	0.4779310065
35	0.4766080134
36	0.4748125927
37	0.4734468608
38	0.4722995658
39	0.4705982102
40	0.4692713433
41	0.4672349894
42	0.4659569162
43	0.4647447418
44	0.463307072
45	0.4619002364
46	0.4607919415
47	0.4596330691
48	0.4584802904
49	0.4573244502
50	0.4564071725
51	0.4552692688
52	0.4543832066
53	0.4532162862
54	0.4521236858
55	0.4512107513
56	0.4504588953
57	0.4499782789
58	0.4491604688
59	0.4484522216
60	0.4476382359
61	0.4469312687
62	0.4463498198
63	0.4458273563
64	0.4450397864
65	0.4442685119
66	0.4437736591
67	0.4429793796
68	0.4420499386
69	0.4414948615
70	0.4410288437
71	0.440709471
72	0.440134189
73	0.4393260334
74	0.4387824914
75	0.4383649071
76	0.4377839676
77	0.4373225845
78	0.4367013309
79	0.435903019
80	0.4353829631
81	0.4347338996
82	0.434172853
83	0.4335070861
84	0.4331967167
85	0.4326666095
86	0.4322883467
87	0.4319441318
88	0.4314982294
89	0.4309923888
90	0.4304925191
91	0.4301004649
92	0.4297617732
93	0.4293850334
94	0.4290122872
95	0.4286972342
96	0.4282548046
97	0.4279711362
98	0.4276388848
99	0.4272568899
100	0.4269291059
101	0.4264971104
102	0.4260882188
103	0.4254679782
104	0.4250979216
105	0.4247870928
106	0.4243504075
107	0.4239607382
108	0.423543226
109	0.4231785136
110	0.4228167539
111	0.4223815644
112	0.4218314911
113	0.4213311295
114	0.4210198905
115	0.4207474607
116	0.4204463895
117	0.4200072974
118	0.4195427574
119	0.4191724709
120	0.4189010489
121	0.4185685981
122	0.4181824948
123	0.4177734371
124	0.4173759155
125	0.4171075374
126	0.4167835561
127	0.4165071042
128	0.4160222506
129	0.4156785726
130	0.4154055563
131	0.4149704146
132	0.4146324869
133	0.4144224615
134	0.4140049834
135	0.4136244671
136	0.4132573583
137	0.4129268438
138	0.4125378453
139	0.4122252879
140	0.4118249142
141	0.4114815353
142	0.4112465285
143	0.4106725336
144	0.410422165
145	0.4101495441
146	0.4096475034
147	0.4093581135
148	0.4090396157
149	0.408820482
150	0.4085165571
151	0.4082522516
152	0.4080115258
153	0.4077018533
154	0.4075454411
155	0.40723275
156	0.4070284775
157	0.4066915491
158	0.4063422456
159	0.4061363056
160	0.4058732451
161	0.4056514719
162	0.4052545313
163	0.4049763562
164	0.4048382064
165	0.4044489236
166	0.404234292
167	0.4039830843
168	0.4037035843
169	0.4035027789
170	0.4032443488
171	0.4029348262
172	0.4025378978
173	0.4022085366
174	0.4019033274
175	0.4017044377
176	0.4014299536
177	0.4011060664
178	0.4006936992
179	0.4004395437
180	0.4001569205
181	0.3999070444
182	0.3995804423
183	0.3993266592
184	0.3989843801
185	0.3987362932
186	0.3985768598
187	0.3983558298
188	0.3979929389
189	0.3977284438
190	0.3974251501
191	0.3971442162
192	0.3968833709
193	0.3966815342
194	0.3965419125
195	0.3962979015
196	0.3960023112
197	0.3958445665
198	0.3955359718
199	0.3952996868
200	0.3950305193
201	0.3948155235
202	0.3945129394
203	0.3942134456
204	0.3939220815
205	0.3936335301
206	0.3933394864
207	0.3930763405
208	0.3927733025
209	0.3924825585
210	0.3922487617
211	0.3920356437
212	0.3918096981
213	0.3916299188
214	0.3914334179
215	0.3911930399
216	0.3910286239
217	0.3908650066
218	0.3905505654
219	0.3901585075
220	0.3900108925
221	0.3898192378
222	0.3895664293
223	0.3892727957
224	0.3890760314
225	0.3888976066
226	0.3886467623
227	0.3884195246
228	0.3881533704
229	0.387889165
230	0.3876884108
231	0.3873992034
232	0.387163665
233	0.3869240313
234	0.3867315731
235	0.3865717043
236	0.3864171824
237	0.3862657236
238	0.3859673459
239	0.3857478883
240	0.3854893554
241	0.3852636474
242	0.3850456533
243	0.3848454237
244	0.3845730323
245	0.3844163198
246	0.3842041715
247	0.3839960681
248	0.3838022674
249	0.3836018151
250	0.3833797809
251	0.3831595477
252	0.3830176018
253	0.3827977672
254	0.3826405835
255	0.3824159729
256	0.382215666
257	0.3819675067
258	0.3817846764
259	0.3815248829
260	0.3814010805
261	0.3812387021
262	0.3810946914
263	0.3809341175
264	0.3808546183
265	0.380697416
266	0.380523004
267	0.3803009318
268	0.3800309103
269	0.3798826334
270	0.3797237089
271	0.3795135366
272	0.3792729965
273	0.3791713384
274	0.3790319691
275	0.3789223553
276	0.3787879302
277	0.3786105608
278	0.3784639744
279	0.378208034
280	0.3780354975
281	0.3777124328
282	0.377601128
283	0.3774137584
284	0.3772368602
285	0.3770938774
286	0.3769032161
287	0.3766546338
288	0.3764201982
289	0.3761930617
290	0.3760481687
291	0.3758922707
292	0.3757540257
293	0.3755773094
294	0.3753858372
295	0.3752174812
296	0.3750941274
297	0.37492811
298	0.3747790637
299	0.374493794
300	0.3743651049
